,name_audio,transcription_original,transcription_whisper,WER%
0,0087001479-DCT-20230831-210705-5ce1b88d-fbcb-488f-854c-b44b94d49280.mp3,Madame Monsieur votre attention s il vous plaît je vous rappelle que suite à une procédure d'affaire oublier à Roissy Charles de Gaulle 1 aucun train ne circule dans votre gare jusqu à 21h50 environ de se fait J invite tous les voyageurs encore à quai de se rendre vers les portes de sortie s il vous plaît," Madame, Monsieur, votre attention, s'il vous plaît. Je vous rappelle que suite à une procédure d'affaires oubliée à Roissy-Charles de Gaulle 1, aucun train ne circule dans votre gare jusqu'à 21h50 environ. De ce fait, j'invite tous les voyageurs encore à quai de se rendre vers les portes de sortie, s'il vous plaît.",5
1,0087001479-DCT-20230821-120017-3699f5df-00a5-401b-addb-637f6fcbf0e4,"Flash Info trafic, Madame, Monsieur, Bonjour et bienvenue en gare. Il est 12h00 l'heure pour moi de vous faire avoir sur la circulation. Actuellement le trafic est fluide sur l'ensemble de la ligne. En revanche des travaux sont en cours. En effet, jusqu'au 27 août. Bagnolet n'est pas deservie jusqu'au 25 août, le trafic est interrompu entre pour la reine et repense poursuivre en temps réel de l'évolution de votre ligne. Je vous invite à consulter les applications Île-de-France mobilités des sites transfert.comratp.fr SNCF.",...,100
2,0087116582-DCT-20230822-105820-62d5f8a0-a472-477b-972a-de644af3af3c.mp3,Voie C le train TER à destination de Paris Est Partir prenez garde à la fermeture automatique des portes attention au départ,Voici le train TER à destination de Paris Est va partir. Prenez garde à la fermeture automatique des portes. Attention au départ !,13
3,0087271007-VOX@NET_GL1-20230830-130056-276d04a9-0fd4-4f4f-9041-155df13fc581.mp3,"À la voie 15, votre attention s'il vous plaît, votre TER pour Boulogne, contrairement à ce qui a été affiché, partira depuis la voie 6. Voici ce pour le TER à destination de Boulogne."," A la voix 15, votre attention, s'il vous plaît. Votre TER pour Boulogne, contrairement à ce qui a été affiché, partira depuis la voix 6 pour le TER à destination de Boulogne.",14
4,0087001479-DCT-20230828-190006-f7969dfe-555a-409f-9974-4e88c1573716.mp3,"Flash INFO trafic, ligne B, Madame Monsieur, Bonsoir et bienvenue en gare. Il est 19 h l'heure pour moi de faire un point sur la circulation. Actuellement le trafic est fluide sur l'ensemble de la ligne. En revanche je vous rappelle que tu lundi au vendredi à partir de 22h45. Le trafic est interrompu entre gare du Nord et l'aéroport Roissy-Charles-de-Gaulle 2, mais également entre Gare du Nord et Mitrique.. pour suivre en temps réel l'évolution de votre ligne, je vous invite à consulter les applications Île-de-France "," La HF traffic ligne B, madame, monsieur, bonjour et bienvenue en gare. Il est 19h00, pour moi de vous faire un point sur la circulation. Actuellement, le trafic est fluide sur l'ensemble de la ligne. En revanche, je vous rappelle que je l'ai entendu au vendredi à partir de 22h45. Le trafic est interrompu entre Gare du Nord et l'aéroport Roissy-Charles-Docoule 2, mais également entre Gare du Nord et Métrique-La-Porte, Vendor et l'évolution de votre ligne. Je vous invite à consulter les applications et l'info.",42
5,0087271007-VOX@NET_GL1-20230829-191749-ebc39b2c-bfe1-4210-bbfc-b5e62e329f81.mp3,"Je reviens auprès des voyageurs du TER ou de France K 16 à destination de Abbeville pour un départ initialement prévu à 19h31. Votre TER est annoncé au départ de la voie 17,  votre TER ce soir à l'instant du centre de maintenance, il va se mettre à quai dans quelques instants, vous pouvez déjà vous rendre donc sur cette voie tout en vous éloignant de la bordure du quai.",Je reviens auprès des voyageurs du TER ou de France K16 à destination d'Abeville pour un départ initialement prévu à 19h31. Votre TER est annoncé au départ de la voie 17. Votre TER sort à l'instant du centre de maintenance. Il va se mettre à quel avocat dans quelques instants. Vous pouvez déjà vous rendre sur cette voie tout en vous éloignant de la bordure du quai.,12
6,0087001479-DCT-20230824-113347-7cf5427c-221e-4240-b5b5-1f22b0ddc63a.mp3,Flash infotrafic ligne B  Madame Monsieur Bonjour et bienvenue encore idée Excusez moi je disais qu il est 11h33 l heure pour moi de vous faire un point sur la circulation Actuellement le trafic est fluide sur l ensemble de la ligne. En revanche jusqu au 25 août le trafic est interrompu entre dans l arène les Robinson et jusqu au 25 aout la ligne n est pas desservis pour suivre en temps réel l évolution de votre ligne je vous invite à consulter les applications ,...,100
7,0087001479-DCT-20230829-053158-b161b7de-a0c3-4c7e-81c2-4e758528bf8f.mp3,"Messieurs, dames. Bonjour votre attention s il vous plaît je vous informe que actuellement le trafic est interrompu entre Aulnay sous Bois Paris gare du Nord et ce dans les 2 sens de circulation suite à un tardive de travaux en gare du Bourget Le train concerné a commencé à recirculer donc j espère qu on va pouvoir reprendre les circulations d ici peu normalement Reprise estimée à 05h00 Je reviendrai vers vous pour vous donner un peu plus d informations Merci de votre écoute et excellente matinée"," Mesdames, bonjour, votre attention s'il vous plaît. Je vous informe qu'actuellement le trafic est interrompu entre Haulnay-Soubois et Paris-Garde, une heure et ce dans les deux sens de circulation suite à un échec de travail de travaux en garde du Bourget. Le train concerné a commencé à recirculer donc j'espère qu'on va pouvoir reprendre les circulations d'ici peu. Normalement reprise estimée à 5h45. Je reviendrai vers vous pour vous donner un peu plus d'informations. Merci de votre écoute et excellente matinée.",17
8,0087271007-VOX@NET_GL1-20230829-192929-e875c32e-126b-46e4-9bef-78542f9ad1b2.mp3,"À la voie 8, votre TER en rentrant, gare pour votre sécurité, éloignez vous de la bordure du quai. Merci."," A la voie 17, votre TVR en trangare. Pour votre sécurité, éloignez-vous de la Bordeaux du Quai. Merci.",30
9,0087271007-VOX@NET_GL1-20230829-201701-99ed6ad0-2c47-4061-8419-c2f61d99f95d.mp3,"À la voie 17, le train situées à l'avant du quai ne prend pas de voyageurs. Merci à tous les voyageurs de bien vouloir prendre place dans le train situé à l'accès au quai merci."," A la boîte 17, le train situé à l'avant du quai ne prend pas de voyageurs. Merci à tous les voyageurs de bien vouloir prendre place dans le train situé à l'accès au quai. Merci.",8
